Lead I,Lead II,Lead III,Lead aVR,Lead aVL,Lead aVF,Lead V1,Lead V2,Lead V3,Lead V4,Lead V5,Lead V6
773.0,707.0,286.0,309.0,497.0,326.0,572.0,1163.0,2004.0,2323.0,1510.0,851.0
770.0,701.0,283.0,332.0,484.0,317.0,582.0,1169.0,2010.0,2326.0,1517.0,858.0
776.0,698.0,273.0,323.0,490.0,320.0,588.0,1175.0,2013.0,2332.0,1517.0,858.0
795.0,701.0,258.0,324.0,491.0,318.0,588.0,1182.0,2010.0,2326.0,1517.0,858.0
789.0,705.0,268.0,321.0,489.0,322.0,588.0,1178.0,2023.0,2332.0,1507.0,858.0
785.0,723.0,289.0,324.0,486.0,323.0,588.0,1175.0,2023.0,2332.0,1510.0,858.0
770.0,712.0,294.0,323.0,505.0,306.0,610.0,1188.0,2023.0,2335.0,1513.0,854.0
735.0,695.0,311.0,314.0,514.0,305.0,619.0,1194.0,2017.0,2338.0,1523.0,864.0
719.0,695.0,328.0,310.0,521.0,302.0,625.0,1197.0,2035.0,2341.0,1523.0,870.0
710.0,701.0,342.0,307.0,525.0,301.0,619.0,1200.0,2042.0,2338.0,1523.0,864.0
726.0,702.0,328.0,311.0,519.0,303.0,619.0,1203.0,2032.0,2345.0,1526.0,864.0
735.0,704.0,320.0,318.0,512.0,303.0,607.0,1200.0,2023.0,2338.0,1523.0,864.0
714.0,710.0,348.0,333.0,497.0,302.0,597.0,1197.0,2023.0,2338.0,1520.0,861.0
704.0,710.0,358.0,348.0,491.0,295.0,588.0,1188.0,2023.0,2338.0,1517.0,858.0
714.0,715.0,353.0,339.0,487.0,307.0,582.0,1182.0,2017.0,2335.0,1517.0,861.0
726.0,713.0,339.0,332.0,479.0,321.0,588.0,1188.0,2017.0,2332.0,1517.0,864.0
743.0,716.0,325.0,329.0,477.0,326.0,594.0,1188.0,2029.0,2332.0,1517.0,864.0
760.0,726.0,317.0,329.0,481.0,323.0,594.0,1188.0,2035.0,2332.0,1517.0,870.0
767.0,728.0,313.0,328.0,485.0,320.0,591.0,1200.0,2035.0,2332.0,1517.0,873.0
767.0,729.0,314.0,318.0,498.0,317.0,588.0,1207.0,2035.0,2338.0,1523.0,876.0
745.0,710.0,317.0,320.0,512.0,301.0,594.0,1213.0,2042.0,2338.0,1523.0,876.0
739.0,691.0,304.0,329.0,504.0,300.0,594.0,1219.0,2054.0,2338.0,1523.0,876.0
752.0,696.0,295.0,336.0,492.0,305.0,594.0,1225.0,2057.0,2341.0,1523.0,867.0
748.0,707.0,311.0,338.0,472.0,323.0,594.0,1244.0,2067.0,2338.0,1523.0,870.0
751.0,721.0,321.0,339.0,468.0,326.0,603.0,1247.0,2076.0,2335.0,1526.0,873.0
760.0,723.0,314.0,338.0,472.0,323.0,600.0,1250.0,2073.0,2332.0,1523.0,870.0
768.0,709.0,293.0,341.0,486.0,306.0,585.0,1235.0,2070.0,2332.0,1523.0,870.0
776.0,701.0,276.0,348.0,491.0,295.0,582.0,1232.0,2067.0,2332.0,1523.0,870.0
775.0,709.0,286.0,339.0,501.0,293.0,578.0,1232.0,2067.0,2335.0,1517.0,870.0
770.0,707.0,289.0,330.0,511.0,292.0,575.0,1238.0,2067.0,2338.0,1523.0,870.0
769.0,710.0,293.0,332.0,501.0,300.0,575.0,1238.0,2070.0,2338.0,1523.0,867.0
760.0,713.0,304.0,336.0,489.0,308.0,575.0,1238.0,2067.0,2338.0,1523.0,864.0
764.0,712.0,300.0,335.0,497.0,301.0,575.0,1235.0,2073.0,2335.0,1520.0,864.0
751.0,707.0,308.0,327.0,512.0,293.0,569.0,1232.0,2079.0,2338.0,1523.0,864.0
748.0,706.0,309.0,327.0,512.0,293.0,566.0,1228.0,2073.0,2345.0,1526.0,867.0
748.0,704.0,308.0,336.0,494.0,303.0,563.0,1232.0,2067.0,2345.0,1523.0,870.0
765.0,716.0,303.0,339.0,482.0,312.0,557.0,1225.0,2063.0,2345.0,1532.0,873.0
782.0,720.0,289.0,341.0,479.0,312.0,557.0,1225.0,2067.0,2345.0,1529.0,870.0
779.0,718.0,291.0,341.0,470.0,321.0,553.0,1232.0,2070.0,2335.0,1523.0,861.0
779.0,716.0,289.0,349.0,454.0,330.0,550.0,1232.0,2079.0,2332.0,1523.0,858.0
773.0,713.0,292.0,349.0,464.0,320.0,560.0,1228.0,2076.0,2323.0,1510.0,848.0
754.0,704.0,301.0,354.0,469.0,311.0,569.0,1232.0,2085.0,2313.0,1492.0,839.0
754.0,707.0,304.0,368.0,443.0,322.0,560.0,1238.0,2085.0,2320.0,1504.0,854.0
751.0,701.0,301.0,371.0,439.0,323.0,563.0,1238.0,2085.0,2320.0,1504.0,858.0
767.0,710.0,295.0,369.0,432.0,332.0,563.0,1228.0,2085.0,2335.0,1520.0,861.0
776.0,707.0,283.0,355.0,447.0,331.0,557.0,1232.0,2079.0,2345.0,1529.0,864.0
793.0,710.0,269.0,348.0,457.0,328.0,563.0,1235.0,2079.0,2338.0,1523.0,867.0
814.0,713.0,251.0,352.0,457.0,323.0,557.0,1238.0,2079.0,2345.0,1529.0,864.0
818.0,721.0,254.0,364.0,449.0,320.0,553.0,1232.0,2079.0,2341.0,1523.0,864.0
832.0,729.0,248.0,364.0,456.0,312.0,557.0,1232.0,2079.0,2338.0,1523.0,864.0
795.0,715.0,272.0,356.0,471.0,306.0,553.0,1235.0,2082.0,2345.0,1517.0,867.0
773.0,723.0,301.0,361.0,467.0,305.0,550.0,1232.0,2079.0,2338.0,1517.0,864.0
754.0,715.0,312.0,362.0,454.0,317.0,553.0,1238.0,2095.0,2338.0,1520.0,873.0
742.0,716.0,326.0,371.0,444.0,318.0,563.0,1250.0,2104.0,2338.0,1523.0,876.0
734.0,709.0,326.0,365.0,459.0,308.0,566.0,1253.0,2101.0,2338.0,1517.0,870.0
717.0,713.0,348.0,373.0,445.0,315.0,569.0,1257.0,2098.0,2338.0,1517.0,870.0
726.0,715.0,340.0,360.0,461.0,312.0,566.0,1250.0,2095.0,2329.0,1513.0,864.0
745.0,732.0,339.0,339.0,487.0,306.0,569.0,1250.0,2098.0,2332.0,1517.0,864.0
734.0,728.0,345.0,333.0,482.0,318.0,572.0,1244.0,2101.0,2335.0,1520.0,858.0
723.0,723.0,351.0,330.0,478.0,325.0,569.0,1244.0,2098.0,2338.0,1517.0,858.0
724.0,715.0,343.0,336.0,487.0,310.0,575.0,1250.0,2101.0,2348.0,1532.0,867.0
726.0,713.0,339.0,336.0,494.0,303.0,575.0,1250.0,2104.0,2345.0,1542.0,883.0
729.0,718.0,340.0,343.0,486.0,303.0,575.0,1247.0,2101.0,2351.0,1532.0,876.0
723.0,726.0,354.0,355.0,479.0,298.0,575.0,1250.0,2098.0,2357.0,1535.0,876.0
729.0,721.0,344.0,354.0,473.0,306.0,575.0,1250.0,2107.0,2354.0,1538.0,883.0
757.0,723.0,317.0,338.0,491.0,305.0,582.0,1257.0,2098.0,2357.0,1535.0,883.0
748.0,726.0,329.0,339.0,489.0,305.0,569.0,1247.0,2092.0,2341.0,1523.0,870.0
748.0,726.0,329.0,338.0,481.0,314.0,557.0,1238.0,2079.0,2338.0,1517.0,870.0
765.0,721.0,308.0,349.0,460.0,323.0,572.0,1232.0,2079.0,2341.0,1520.0,864.0
773.0,726.0,304.0,369.0,428.0,336.0,569.0,1232.0,2085.0,2338.0,1523.0,870.0
769.0,720.0,303.0,378.0,416.0,340.0,566.0,1247.0,2092.0,2345.0,1523.0,867.0
764.0,720.0,308.0,374.0,423.0,336.0,569.0,1244.0,2085.0,2345.0,1523.0,864.0
770.0,718.0,300.0,361.0,443.0,329.0,566.0,1241.0,2092.0,2341.0,1517.0,867.0
760.0,713.0,304.0,349.0,464.0,320.0,569.0,1244.0,2092.0,2345.0,1517.0,870.0
750.0,713.0,315.0,343.0,474.0,316.0,557.0,1244.0,2088.0,2338.0,1517.0,867.0
745.0,713.0,320.0,349.0,482.0,301.0,563.0,1238.0,2079.0,2345.0,1517.0,864.0
745.0,720.0,326.0,350.0,479.0,304.0,557.0,1238.0,2088.0,2341.0,1523.0,864.0
748.0,726.0,329.0,354.0,473.0,306.0,557.0,1238.0,2092.0,2338.0,1523.0,864.0
762.0,726.0,316.0,353.0,474.0,305.0,557.0,1238.0,2092.0,2335.0,1513.0,867.0
779.0,713.0,286.0,354.0,469.0,311.0,563.0,1244.0,2085.0,2332.0,1517.0,870.0
779.0,704.0,276.0,359.0,453.0,321.0,560.0,1238.0,2085.0,2332.0,1517.0,864.0
782.0,704.0,273.0,369.0,428.0,336.0,563.0,1238.0,2085.0,2332.0,1510.0,858.0
778.0,716.0,290.0,378.0,421.0,333.0,553.0,1232.0,2079.0,2329.0,1513.0,851.0
760.0,713.0,304.0,389.0,406.0,337.0,557.0,1238.0,2079.0,2332.0,1510.0,851.0
744.0,715.0,323.0,378.0,419.0,336.0,547.0,1225.0,2076.0,2335.0,1513.0,864.0
742.0,723.0,333.0,360.0,451.0,321.0,550.0,1232.0,2073.0,2345.0,1523.0,870.0
743.0,725.0,333.0,353.0,456.0,324.0,557.0,1238.0,2079.0,2345.0,1523.0,861.0
735.0,716.0,333.0,346.0,466.0,321.0,557.0,1244.0,2079.0,2345.0,1523.0,864.0
768.0,730.0,314.0,353.0,456.0,324.0,569.0,1266.0,2098.0,2348.0,1523.0,873.0
789.0,738.0,301.0,348.0,457.0,328.0,575.0,1294.0,2117.0,2338.0,1517.0,876.0
769.0,728.0,311.0,334.0,472.0,326.0,591.0,1322.0,2135.0,2345.0,1517.0,870.0
745.0,713.0,320.0,333.0,476.0,323.0,607.0,1344.0,2148.0,2345.0,1517.0,870.0
740.0,705.0,317.0,342.0,478.0,313.0,597.0,1353.0,2151.0,2345.0,1520.0,870.0
757.0,710.0,304.0,341.0,479.0,312.0,588.0,1344.0,2154.0,2345.0,1517.0,870.0
749.0,713.0,316.0,344.0,473.0,315.0,594.0,1332.0,2160.0,2348.0,1517.0,873.0
751.0,720.0,320.0,351.0,466.0,317.0,588.0,1300.0,2148.0,2345.0,1517.0,876.0
770.0,724.0,306.0,341.0,486.0,307.0,575.0,1260.0,2142.0,2338.0,1510.0,870.0
776.0,738.0,314.0,318.0,503.0,312.0,563.0,1225.0,2142.0,2332.0,1504.0,858.0
756.0,720.0,315.0,326.0,486.0,321.0,532.0,1182.0,2113.0,2329.0,1507.0,854.0
757.0,713.0,308.0,332.0,479.0,321.0,494.0,1113.0,2085.0,2332.0,1510.0,858.0
760.0,710.0,301.0,324.0,491.0,318.0,450.0,1035.0,2057.0,2335.0,1510.0,861.0
770.0,710.0,292.0,324.0,486.0,323.0,419.0,963.0,2029.0,2332.0,1517.0,870.0
777.0,715.0,289.0,323.0,487.0,323.0,391.0,897.0,1985.0,2338.0,1513.0,864.0
785.0,726.0,292.0,321.0,487.0,325.0,363.0,813.0,1942.0,2338.0,1510.0,864.0
795.0,725.0,281.0,317.0,495.0,321.0,325.0,713.0,1891.0,2341.0,1517.0,870.0
785.0,723.0,289.0,310.0,504.0,318.0,294.0,625.0,1828.0,2338.0,1510.0,864.0
779.0,720.0,292.0,308.0,510.0,315.0,257.0,532.0,1762.0,2338.0,1517.0,873.0
789.0,723.0,286.0,299.0,512.0,321.0,219.0,450.0,1703.0,2332.0,1510.0,870.0
790.0,726.0,287.0,295.0,502.0,336.0,166.0,372.0,1641.0,2329.0,1513.0,864.0
773.0,723.0,301.0,298.0,506.0,330.0,100.0,269.0,1584.0,2326.0,1510.0,858.0
780.0,727.0,298.0,298.0,507.0,328.0,41.0,163.0,1497.0,2316.0,1507.0,858.0
789.0,729.0,292.0,298.0,501.0,334.0,7.0,69.0,1409.0,2320.0,1504.0,858.0
789.0,716.0,279.0,291.0,509.0,334.0,19.0,16.0,1331.0,2323.0,1513.0,870.0
795.0,707.0,264.0,264.0,539.0,330.0,100.0,0.0,1272.0,2326.0,1510.0,870.0
765.0,720.0,306.0,264.0,541.0,328.0,182.0,7.0,1222.0,2323.0,1507.0,870.0
754.0,726.0,323.0,269.0,539.0,325.0,232.0,7.0,1159.0,2326.0,1510.0,870.0
735.0,723.0,339.0,280.0,511.0,342.0,272.0,3.0,1109.0,2332.0,1523.0,873.0
729.0,726.0,348.0,282.0,504.0,346.0,325.0,38.0,1059.0,2326.0,1517.0,870.0
712.0,726.0,365.0,276.0,510.0,347.0,394.0,57.0,966.0,2326.0,1513.0,861.0
695.0,729.0,386.0,273.0,519.0,342.0,450.0,82.0,866.0,2326.0,1510.0,858.0
703.0,725.0,373.0,268.0,514.0,350.0,528.0,119.0,787.0,2323.0,1513.0,851.0
695.0,720.0,376.0,261.0,522.0,350.0,550.0,144.0,691.0,2326.0,1510.0,858.0
698.0,720.0,373.0,262.0,522.0,348.0,560.0,122.0,534.0,2326.0,1507.0,854.0
704.0,716.0,364.0,263.0,528.0,342.0,607.0,107.0,353.0,2320.0,1504.0,851.0
714.0,718.0,356.0,269.0,520.0,343.0,657.0,216.0,203.0,2320.0,1495.0,851.0
735.0,716.0,333.0,261.0,536.0,336.0,738.0,407.0,97.0,2326.0,1498.0,851.0
751.0,735.0,336.0,241.0,564.0,327.0,863.0,760.0,75.0,2326.0,1507.0,861.0
776.0,748.0,323.0,232.0,572.0,330.0,989.0,1119.0,109.0,2332.0,1504.0,864.0
772.0,734.0,314.0,211.0,579.0,342.0,1129.0,1372.0,116.0,2341.0,1517.0,876.0
